"","ind","species","site","leaf","herb","herb_bin"
"186",62,1,2,3,2,1
"187",63,1,2,1,0,1
"188",63,1,2,2,1,1
"189",63,1,2,3,0,1
"190",64,1,2,1,0,0
"191",64,1,2,2,0,0
"192",64,1,2,3,0,0
"193",65,1,2,1,1,1
"194",65,1,2,2,0,1
"195",65,1,2,3,0,1
"196",66,1,2,1,0,1
"197",66,1,2,2,1,1
"198",66,1,2,3,1,1
"199",67,1,2,1,0,0
"200",67,1,2,2,0,0
"201",67,1,2,3,0,0
"202",68,1,2,1,0,0
"203",68,1,2,2,0,0
"204",68,1,2,3,0,0
"205",69,1,2,1,1,1
"206",69,1,2,2,0,1
"207",69,1,2,3,10,1
"208",70,1,2,1,1,1
"209",70,1,2,2,3,1
"210",70,1,2,3,1,1
"211",71,1,2,1,0,0
"212",71,1,2,2,0,0
"213",71,1,2,3,0,0
"214",72,1,2,1,1,1
"215",72,1,2,2,0,1
"216",72,1,2,3,0,1
"217",73,1,2,1,0,0
"218",73,1,2,2,0,0
"219",73,1,2,3,0,0
"220",74,1,2,1,0,1
"221",74,1,2,2,0,1
"222",74,1,2,3,3,1
"223",75,1,2,1,0,1
"224",75,1,2,2,0,1
"225",75,1,2,3,3,1
"226",76,1,2,1,5,1
"227",76,1,2,2,1,1
"228",76,1,2,3,1,1
"229",77,1,2,1,0,1
"230",77,1,2,2,5,1
"231",77,1,2,3,1,1
"232",78,1,2,1,0,0
"233",78,1,2,2,0,0
"234",78,1,2,3,0,0
"235",79,1,2,1,0,0
"236",79,1,2,2,0,0
"237",79,1,2,3,0,0
"238",80,1,2,1,0,1
"239",80,1,2,2,1,1
"240",80,1,2,3,3,1
"241",81,2,1,1,0,0
"242",81,2,1,2,0,0
"243",81,2,1,3,0,0
"244",82,2,1,1,1,1
"245",82,2,1,2,1,1
"246",82,2,1,3,0,1
"247",83,2,1,1,0,0
"248",83,2,1,2,0,0
"249",83,2,1,3,0,0
"250",84,2,1,1,2,1
"251",84,2,1,2,20,1
"252",84,2,1,3,1,1
"253",85,2,1,1,1,1
"254",85,2,1,2,0,1
"255",85,2,1,3,0,1
"256",86,2,1,1,0,1
"257",86,2,1,2,1,1
"258",86,2,1,3,1,1
"259",87,2,1,1,0,0
"260",87,2,1,2,0,0
"261",87,2,1,3,0,0
"262",88,2,1,1,1,1
"263",88,2,1,2,0,1
"264",88,2,1,3,15,1
"265",89,2,1,1,0,1
"266",89,2,1,2,0,1
"267",89,2,1,3,3,1
"268",90,2,1,1,0,0
"269",90,2,1,2,0,0
"270",90,2,1,3,0,0
"271",91,2,1,1,0,1
"272",91,2,1,2,0,1
"273",91,2,1,3,1,1
"274",92,2,1,1,0,1
"275",92,2,1,2,2,1
"276",92,2,1,3,4,1
"277",93,2,1,1,0,0
"278",93,2,1,2,0,0
"279",93,2,1,3,0,0
"280",94,2,1,1,1,1
"281",94,2,1,2,0,1
"282",94,2,1,3,0,1
"283",95,2,1,1,1,1
"284",95,2,1,2,0,1
"285",95,2,1,3,20,1
"286",96,2,1,1,0,1
"287",96,2,1,2,1,1
